Zip,Median_Value_Per_SQFT_2017-09_to_2018_08_avg,Price_to_Rent_Ratio_2017-09_to_2018-08_avg,Sale_Price_2017-08_to_2018-07_avg
60402,161.75,10.79333333,196125
84015,188.0833333,13.14,
21218,107.6666667,8.049166667,117066.6667
77373,83.83333333,9.0975,159216.6667
7055,139.25,16.19583333,249716.6667
33308,273.5833333,13.07,366066.6667
33312,189.5833333,11.8875,255633.3333
11374,589.5,23.20666667,
33437,153.3333333,11.33833333,
92201,163.25,11.8825,269525
78228,95.25,9.170833333,
73505,65.08333333,9.255833333,
33578,113.25,11.39333333,184650
27529,111.1666667,12.22916667,202825
65202,95.83333333,11.03333333,
7003,224.0833333,14.2175,
75093,147.75,14.13416667,428425
60638,193,11.22833333,214575
22030,277.0833333,17.48416667,529791.6667
99336,151.25,14.185,
30319,246,15.44416667,465308.3333
38016,80.33333333,10.45833333,172141.6667
19382,179,14.74,381225
44646,84.08333333,9.943333333,
30114,115.5833333,13,249775
80538,218.0833333,16.51416667,
92056,326.9166667,17.585,526166.6667
95008,830.1666667,31.8325,1340400
10036,1520,25.23083333,962166.6667
79109,88.91666667,9.371666667,
36695,89.16666667,11.32916667,
97405,195.75,17.015,
78230,121.3333333,11.925,
48187,139.4166667,12.29916667,251758.3333
92704,386.25,17.31333333,
19145,178.4166667,12.6825,177358.3333
95350,194.5833333,16.2825,
34698,162.0833333,12.51416667,235300
63303,128.75,11.665,224775
28645,71.08333333,8.224166667,
34997,152,11.385,
7306,361.3333333,15.72583333,
60639,190.4166667,11.58333333,
63366,133.4166667,11.40416667,197891.6667
92618,461.3333333,19.9175,880750
6810,171.25,10.59333333,257675
92071,336.5833333,17.115,468191.6667
27606,142.5,14.1575,
8021,78.58333333,7.8075,
45069,111.1666667,10.94166667,231033.3333
19146,269.5833333,15.6,
78045,110.4166667,10.13833333,
39503,79.58333333,9.555833333,
96797,473.4166667,22.3425,
21206,100.9166667,8.9725,115058.3333
33914,148.9166667,12.465,273641.6667
92024,523.75,21.61333333,971291.6667
27405,68.66666667,9.573333333,106616.6667
56001,139.5,11.88333333,
28546,83.83333333,12.33916667,
92656,411.5833333,18.02,561166.6667
92805,391.4166667,17.45666667,517433.3333
10473,273.8333333,17.45916667,
33418,192.25,12.455,361600
97702,228.25,18.66416667,
34952,120.75,10.88,
37043,106,13.155,
95624,210.3333333,17.79083333,411841.6667
92553,199.75,14.6725,287508.3333
75068,124.25,12.73666667,269091.6667
22003,303.75,17.42083333,502283.3333
46032,119.4166667,12.14333333,325190.9091
61265,80,10.13166667,
23225,136.9166667,13.37166667,205925
85326,108.5833333,13.54083333,196966.6667
32068,106.9166667,11.87416667,178841.6667
10940,122.4166667,8.671666667,159827.2727
80504,213.9166667,15.84,
92509,243.9166667,16.115,371566.6667
85374,144.1666667,14.58083333,223433.3333
75007,137.5833333,12.65,267933.3333
75071,128.25,13.38333333,305691.6667
78550,62.16666667,7.455,
4401,104.9166667,8.745,
36830,104.1666667,12.475,
96720,230.5,16.235,
30606,101.6666667,12.485,
45238,80.66666667,9.015,
11210,519.1666667,28.83916667,
26003,74.83333333,10.61666667,
44124,99.83333333,9.4325,137125
27616,112.75,12.18083333,196683.3333
92626,445.8333333,20.00166667,761475
12550,136.75,9.146666667,151290.9091
29720,72.91666667,9.973333333,
90006,481.0833333,20.46833333,
63116,104.0833333,10.67583333,122233.3333
33065,140.9166667,10.16083333,
96817,551,26.82,
89129,146.5833333,16.23583333,255991.6667
92880,199.25,16.97333333,545816.6667
35758,95.33333333,12.65833333,
75040,112.5833333,10.52583333,
92253,210,11.84416667,418450
85254,213.9166667,16.44083333,434991.6667
85205,145.5,14.4675,218250
60073,102.25,8.5125,155050
58104,199.25,14.8325,
23185,143.25,14.29333333,298525
78640,118.4166667,10.84833333,214391.6667
19320,118.1666667,11.57833333,
29607,135.4166667,11.74833333,217691.6667
77386,98.75,10.36166667,239891.6667
80020,238.8333333,15.795,382375
78258,120.5,12.00166667,327283.3333
33810,110.6666667,11.72,175441.6667
27613,146.8333333,16.15166667,316425
20850,297.9166667,17.7825,499033.3333
87109,139.4166667,14.32166667,
20774,165,12.70333333,
34221,135.25,11.24583333,226250
27526,123.4166667,13.6325,245550
21228,193.5,13.545,
48044,130.4166667,12.14333333,272975
60630,245.4166667,13.13083333,282791.6667
98109,627.5,21.9825,
89122,131.4166667,13.67166667,200241.6667
75149,102.0833333,9.121666667,
90255,321.4166667,15.94833333,391558.3333
75703,101.75,12.10416667,
11434,339.5833333,17.87083333,401291.6667
23188,142.1666667,14.1325,298808.3333
65802,77.16666667,10.65166667,
49009,128.8333333,11.45916667,
94115,1189.25,25.575,1534025
29501,94.25,9.794166667,
33176,189.0833333,12.30916667,
75061,110.0833333,10.16416667,
17602,108.0833333,11.5225,
21207,130.5833333,10.62,
33614,122.6666667,11.14666667,160833.3333
75025,132.0833333,14.5225,355825
33020,191.75,10.90833333,202225
92234,173.1666667,13.425,278341.6667
98125,402.6666667,22.39416667,612150
78250,105.3333333,10.48,168158.3333
55337,178.1666667,12.86916667,236650
97301,166.6666667,13.27916667,
97501,173.9166667,14.0425,
70816,98.33333333,11.1,167575
73072,106.9166667,11.44083333,186308.3333
80123,248.25,15.97333333,370091.6667
98661,208.3333333,14.8075,287191.6667
91786,294.75,17.64916667,450300
78504,85.41666667,9.195833333,
43235,136.1666667,11.90916667,231966.6667
47401,128.5833333,11.25833333,
72701,113.5833333,12.1225,
78681,128.1666667,13.55083333,295575
93312,152.1666667,14.305,278133.3333
87112,126.5833333,12.51416667,
29414,141.3333333,12.80666667,250350
57106,181.75,12.60333333,
