Zip,FILTER_Median_Value_Per_SQFT_2017-09_to_2018_08,Price_to_Rent_Ratio_2017-09_to_2018-08_avg,FILTER_Sale_Price_2017-08_to_2018-07_avg,PctPriceCut,BuyerSellerIndex,MarketHealthIndex,FILTER_ZHVI,YoY,ForecastYoYPctChange,DaysOnMarket_Average,median_value_per_sqft_avg_scaled_0_1,SCORING_price_to_rent_ratio_scaled_0_1,SCORING_buyer_seller_index_scaled_0_1,SCORING_market_health_index_scaled_0_1,FILTER_days_on__market_bin,SCORING_days_on_market_scaled_0_1
18634,34.83333333,7.670833333,,,,,,,,,0.007480248779626829,0.12266690518541237,NA,NA,NA,NA
45631,61.16666667,8.8225,,,,,,,,,0.020759791563287947,0.1520994658693041,NA,NA,NA,NA
35475,108.5,12.35,,,,,,,,,0.04462934947049924,0.24224999361087685,NA,NA,NA,NA
44425,71.75,8.845833333,95500.0,18.82352941,3.043478261,7.762739953,88300.0,11.06918239,0.05416761,69.75,0.026096822995461424,0.1526957840220808,0.3043478261,0.7762739953,less than 90 days,0.08457446808510638
56345,64.75,9.985833333,,,,,,,,,0.022566817952597074,0.18183018561680597,NA,NA,NA,NA
55364,221.4166667,14.54,,22.22222222,9.130434783,5.729181052,320400.0,10.33057851,0.043504994,73.25,0.10157169273827535,0.2982187124639014,0.9130434783,0.5729181052000001,less than 90 days,0.09202127659574467
25427,105.25,11.43,,14.22222222,3.333333333,4.971688993,169700.0,6.461731493,0.102651738,78.0,0.042990418557740794,0.2187380203940811,0.33333333330000003,0.49716889929999997,less than 90 days,0.10212765957446808
10580,634.5,15.07083333,,10.43956044,5.042881647,2.680568982,1721700.0,-0.191304348,0.043071383,139.0,0.30988401412002015,0.3117849505481868,0.5042881646999999,0.2680568982,120+ days,0.23191489361702128
35094,93.25,10.73833333,,18.3908046,5.0,3.632095015,149500.0,9.124087591,0.011110368,59.75,0.036938981341401916,0.20106144624191774,0.5,0.3632095015,less than 60 days,0.06329787234042553
2806,236.1666667,14.55166667,450228.5714,24.27745665,9.508196721,7.255213368,414600.0,2.649170587,0.066743849,85.5,0.10900991765002521,0.2985168716297375,0.9508196721,0.7255213368,less than 90 days,0.11808510638297873
48324,131.0,11.91083333,265241.6667,25.96685083,8.410596026,3.03687336,291900.0,7.911275416,0.059191504,65.0,0.05597579425113464,0.23102643384701885,0.8410596026,0.303687336,less than 90 days,0.07446808510638298
55346,225.0,14.41916667,317975.0,22.22222222,5.130434783,5.890070432,342300.0,4.551007941,0.057288928,55.75,0.10337871911245587,0.2951306363566664,0.5130434783,0.5890070432,less than 60 days,0.054787234042553194
97381,193.6666667,15.6925,,14.54545455,8.333333333,6.622013534,301100.0,9.610484165,0.041185653,59.0,0.08757774417549169,0.3276725702164635,0.8333333333,0.6622013534,less than 60 days,0.06170212765957447
77378,101.5,9.381666667,,,,,,,,,0.041099344427634896,0.16638980467172684,NA,NA,NA,NA
2664,257.4166667,15.30666667,,18.30985915,6.153846154,6.132440271,322900.0,5.110677083,0.085571384,79.0,0.11972600438729199,0.3178120235630862,0.6153846154,0.6132440271,less than 90 days,0.10425531914893617
64024,100.5833333,9.02,136666.6667,7.100591716,1.797752809,4.801822953,132600.0,7.108239095,0.058612368,61.5,0.04063708184568835,0.1571468731631271,0.1797752809,0.4801822953,less than 90 days,0.06702127659574468
20816,487.5833333,19.7675,826833.3333,8.860759494,1.774193548,5.812733048,920900.0,2.265408107,0.025850798,72.0,0.23579593207261723,0.4318152776712924,0.17741935479999998,0.5812733048000001,less than 90 days,0.08936170212765958
6897,266.5,15.87833333,693025.0,16.97416974,7.692307692,2.067394006,699500.0,-3.196789372,0.021189421,109.75,0.1243066061522945,0.33242181834445045,0.7692307692,0.20673940059999998,less than 120 days,0.1696808510638298
93110,611.1666667,21.60166667,,16.27906977,5.0,4.254937163,1111600.0,9.733464956,0.006949442,72.25,0.2981173306606152,0.47869014464974835,0.5,0.4254937163,less than 90 days,0.0898936170212766
49331,139.0833333,12.23166667,,27.72277228,7.428571429,4.960640795,218100.0,8.56147337,0.016767538,52.5,0.060052109581442255,0.23922580873520916,0.7428571428999999,0.4960640795,less than 60 days,0.047872340425531915
14904,47.58333333,5.444166667,,,,,,,,,0.01390990082198689,0.06576111495310384,NA,NA,NA,NA
37663,98.16666667,11.7875,,17.34693878,3.076923077,5.951526032,159300.0,5.287508262,0.032730697,69.0,0.039418389646999494,0.2278744665082164,0.3076923077,0.5951526032000001,less than 90 days,0.08297872340425531
55008,152.0833333,11.11083333,,22.03389831,8.956521739,7.569396492,190500.0,6.18729097,0.089060367,68.75,0.06660783323247604,0.21058123974545734,0.8956521739,0.7569396492,less than 90 days,0.08244680851063829
