"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"Zip","95380","Turlock","CA","Modesto, CA","Modesto, CA",,9.23076923076923,94.12,3.3231,0.7199,280500,-0.106837606837607,10.6072555205047,0.0633939393939393,,0.0663121676571786,0.0141509433962264,67.5
"Zip","95382","Turlock","CA","Modesto, CA","Modesto, CA",,5.49509736224278,88.89,3.9838,,334800,-0.149120190873844,3.2377428307123,0.0559169653524492,,0.0604830091899979,0.0318021201413428,61
"Zip","95386","Waterford","CA","Modesto, CA","Modesto, CA",,4.79215577958845,66.67,,,262200,-0.152322924600152,7.02040816326531,0.060621662852784,,0.0511669658886894,0.0526315789473684,56
"Zip","95388","Winton","CA","Merced, CA","Merced, CA",,9.7431294020163,,,,188900,-0.105764145954521,11.183048852266,0.0743673901535205,,0.0823271130625686,0,77
"Zip","95391","Tracy","CA","Stockton-Lodi, CA","Stockton-Lodi, CA",,4.92404364038116,100,,1.9156,600900,-0.182724252491694,3.99792315680166,0.0266999500748877,,0.070479704797048,0.0261780104712042,45
"Zip","95401","Santa Rosa","CA","Santa Rosa, CA","Santa Rosa, CA",,9.21488744648529,100,,,520600,-0.15343306482547,7.62869547240025,0.0548578563196311,,0.0426877470355731,0,40
"Zip","95403","Santa Rosa","CA","Santa Rosa, CA","Santa Rosa, CA",,8.07623256456291,95.24,5.1101,,546400,-0.0731528895391368,2.14993456720882,0.0826116398243046,,0.0374493927125506,0.0108108108108108,61
"Zip","95404","Santa Rosa","CA","Santa Rosa, CA","Santa Rosa, CA",,9.78248860654606,100,1.1628,1.5344,676000,0,2.31572574542152,0.053871301775148,,0.0309610836379273,0,50
"Zip","95405","Santa Rosa","CA","Santa Rosa, CA","Santa Rosa, CA",,9.66095843115592,90.91,,,610000,0.0163961305131989,7.92639773531493,0.0437278688524589,,0.0318151373074347,0,47
"Zip","95407","Santa Rosa","CA","Santa Rosa, CA","Santa Rosa, CA",,9.62574230078718,100,1.875,,512300,0,7.44546979865772,0.0634959984384149,,0.0549682875264271,0.010989010989011,45.5
"Zip","95409","Santa Rosa","CA","Santa Rosa, CA","Santa Rosa, CA",,9.83772959535976,100,2.352,,689900,-0.0434656621269197,6.84528418770327,0.0386084939846354,,0.0281879194630872,0,54
"Zip","95421","Cazadero","CA","Santa Rosa, CA","Santa Rosa, CA",,8.94420660129816,100,,,489700,-0.0408246580934885,6.13350671868227,0.069426179293445,,0.0277777777777778,0.5,49
"Zip","95425","Cloverdale","CA","Santa Rosa, CA","Santa Rosa, CA",,8.17773788150808,85.71,,,536200,-0.148975791433892,6.5792089047903,0.0750317045878404,,0.0283085633404105,0.025,49
"Zip","95436","Forestville","CA","Santa Rosa, CA","Santa Rosa, CA",,9.64369562215164,100,,,537600,-0.278241513633834,9.13520097442144,0.046049107142857,,0.0242057488653555,0,49
"Zip","95437","Fort Bragg","CA","Ukiah, CA","Ukiah, CA",,7.50034525618009,50,,1.3373,365800,0.219178082191781,2.52242152466368,0.0508966648441771,,0.0534429599177801,0,69
"Zip","95441","Geyserville","CA","Santa Rosa, CA","Santa Rosa, CA",,7.62878055517194,,,,787900,-0.730754693209021,7.54845754845755,-0.0128848838685113,,0.0240963855421687,0,49
"Zip","95442","Glen Ellen","CA","Santa Rosa, CA","Santa Rosa, CA",,8.84062974727248,100,,,1091900,-0.109779526118379,3.62532029989561,0.00131239124461957,,0.00851063829787234,0,49
"Zip","95445","Gualala","CA","Ukiah, CA","Ukiah, CA",,6.48598259908852,100,,,422900,0.189528547737503,1.0996892182644,0.0337597540789785,,,,69
"Zip","95446","Guerneville","CA","Santa Rosa, CA","Santa Rosa, CA",,4.59052617041845,77.78,5.3846,,454000,-0.0880281690140845,5.72892408011178,0.036215859030837,,0.0394088669950739,0.0625,49
