Zip,PctPriceCut,BS_DaysOnMarket,BuyerSellerIndex,MarketHealthIndex,ZHVI,YoY,ForecastYoYPctChange,NegativeEquity,Delinquency,MH_DaysOnMarket,DaysOnMarket_Average
28785,14.54545455,109.0,7.6,6.397597017,122900.0,18.97386254,0.085028478,0.109022556,0.0,103.0,106.0
28759,23.68421053,64.0,6.8,4.366800166,286200.0,8.081570997,0.041628232,0.037204059,0.03030303,62.0,63.0
28751,13.8121547,92.0,4.4,3.453942826,143700.0,10.70878274,0.122052888,0.099255583,0.0,82.0,87.0
30349,10.11235955,80.0,4.675324675,8.112139207,128200.0,7.912457912,0.124477379,0.262026835,0.040799334,73.0,76.5
30044,15.28301887,52.0,1.558441558,8.567877365,187400.0,9.976525822,0.079978655,0.063226935,0.02351314,51.0,51.5
30043,19.28687196,50.0,3.571428571,8.637619113,230600.0,7.405682347,0.071613183,0.05234796,0.017647059,51.5,50.75
30096,20.74468085,51.5,4.545454545,8.921419693,223200.0,8.507535246,0.076653226,0.062164125,0.01635514,48.0,49.75
30024,20.44063647,57.0,6.103896104,8.483634857,348200.0,5.196374622,0.053808156,0.05028528,0.018154312,56.0,56.5
30281,9.589041096,59.0,1.298701299,1.451456981,154000.0,5.407255305,0.109344156,0.121630882,0.04600939,52.0,55.5
30040,20.84257206,61.0,7.857142857,8.695622152,296800.0,6.839452844,0.048810647,0.049363949,0.004862237,59.0,60.0
30188,17.10296684,50.0,2.337662338,9.185195415,233100.0,8.874357777,0.076199056,0.042628149,0.016528926,50.0,50.0
30080,19.02834008,56.0,4.935064935,6.634442757,270600.0,13.50671141,0.058296378,0.10170593,0.012779553,59.0,57.5
30052,19.20731707,64.0,8.441558442,7.869769369,200700.0,7.44111349,0.084838067,0.05741804,0.040322581,60.0,62.0
30041,25.93123209,63.0,9.415584416,7.679187957,354900.0,5.031074282,0.050107072,0.048868623,0.01056338,64.0,63.5
30062,24.5243129,56.0,7.662337662,8.792293882,326200.0,7.656765677,0.055098099,0.050497122,0.008635579,55.0,55.5
30331,14.36619718,77.0,6.493506494,4.868802652,142900.0,9.838585703,0.080083975,0.236378078,0.043682796,71.0,74.0
30022,21.57894737,57.0,7.077922078,9.390277586,407600.0,5.98023921,0.058233562,0.051446646,0.01084991,57.5,57.25
30004,20.33707865,58.0,6.363636364,8.691479077,404900.0,4.787784679,0.048663868,0.059830742,0.009868421,59.5,58.75
30127,16.01731602,56.0,2.857142857,4.854301892,198100.0,9.326710817,0.070111055,0.075444547,0.03133515,53.5,54.75
30135,15.89648799,63.0,5.12987013,3.152879437,168100.0,8.033419023,0.104967281,0.095017755,0.050962627,56.0,59.5
30253,9.851301115,80.0,4.285714286,4.290153294,170100.0,4.805914972,0.106743092,0.117800687,0.038506418,76.0,78.0
